no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
211,6701.4,82041.96,6701.4,4.2,11.7,0,1,107,1,1,0,0,0,0,0,0,0,0,0,0,2016,6654,270
212,399.61,13886,399.61,6.2,6.2,0,1,107,1,1,0,0,0,0,0,0,0,0,0,0,2016,251,120
213,1708,30325,560.93,3.5,4.25,0,4,9,5,0,0,0,0,1,0,0,0,0,0,0,2016,2050,240
214,6985,12000,2164.29,3.3,28.3,0,7,104,5,0,0,0,0,1,0,0,0,0,0,0,2016,9094,900
215,972.94,62782.3,418.93,4.2,19.2,0,5,114,5,0,0,0,0,1,0,0,0,0,0,0,2016,1503,150
216,5195.49,3300,1889.92,4.2,13.1,1,3,21,5,0,0,0,0,1,0,0,0,0,0,0,2016,4885,300
217,2995.28,5159.53,1550.06,3.9,9.6,1,2,23,5,0,0,0,0,1,0,0,0,0,0,0,2016,4344,290
218,655.37,503528,264.12,3.6,21,0,3,3,5,0,0,0,0,1,0,0,0,0,0,0,2016,1407,150
219,3416.58,5054,1931.07,4.2,12.35,1,2,25,5,0,0,0,0,1,0,0,0,0,0,0,2016,4291,270
220,981.79,482,240.13,3.2,21,1,5,5,7,0,0,0,0,0,0,1,0,0,0,0,2016,2246,365
221,11734.92,11127,3503,4.2,20,1,3,202,7,0,0,0,0,0,0,1,0,0,0,0,2016,15481,630
